Resultado,numero 1,numero 2,numero 3,numero 4,numero 5,numero 6
perde,17,20,24,29,40,56
perde,03,23,26,27,30,54
vence,7,34,45,51,54,59
perde,09,17,26,29,43,44
perde,03,18,42,46,54,56
vence,16,20,23,29,35,47
perde,01,20,35,43,48,54
vence,18,31,43,52,57,58
vence,14,18,28,35,38,54
perde,01,17,27,29,32,41
perde,11,12,16,17,31,49
perde,15,27,44,45,46,54
vence,3,35,38,40,57,58
perde,07,11,12,36,37,50
perde,01,18,20,26,50,59
perde,12,22,23,34,53,54
perde,14,31,49,50,53,58
perde,15,23,28,35,37,44
perde,06,08,19,29,38,51
perde,04,30,46,49,52,56
vence,15,27,34,42,49,53
perde,06,30,31,35,39,60
perde,03,21,22,29,36,53
perde,24,30,39,42,52,55
perde,04,25,39,52,57,60
perde,09,22,35,37,54,59
vence,5,7,24,25,36,47
perde,01,05,06,22,28,59
perde,22,33,41,52,56,60
perde,13,36,43,45,50,60
vence,4,11,14,33,44,45
perde,03,12,23,41,44,50
perde,07,14,29,32,52,55
perde,09,15,16,35,38,43
vence,10,11,12,37,38,59
perde,03,15,16,40,46,48
perde,02,05,12,21,45,56
vence,4,5,13,17,46,54
perde,01,15,18,29,35,60
perde,01,07,32,41,49,52
perde,01,21,24,36,42,44
perde,02,29,42,50,51,57
perde,22,40,41,44,45,57
perde,02,08,20,22,33,56
perde,12,24,30,34,55,59
perde,12,29,41,45,50,56
perde,02,06,15,44,49,55
perde,06,08,26,27,31,42
perde,23,24,25,30,32,60
perde,10,18,22,27,36,57
perde,07,10,32,33,40,46
perde,06,19,24,28,30,40
perde,25,34,37,47,54,56
perde,07,26,29,46,50,59
perde,06,19,40,42,44,52
vence,3,15,27,29,36,53
perde,05,23,30,47,49,55
perde,12,22,32,53,57,59
perde,02,14,19,21,35,58
perde,08,09,11,46,52,55
perde,09,17,26,43,46,49
perde,02,28,35,36,40,55
perde,02,04,41,44,53,54
vence,2,18,19,23,34,53
perde,12,13,39,44,57,59
perde,06,10,12,15,35,42
perde,01,04,06,09,18,55
perde,08,11,19,32,49,50
vence,1,3,16,18,41,42
perde,13,15,24,28,45,57
perde,12,23,29,46,51,52
perde,02,05,24,33,37,39
vence,2,5,8,42,46,59
perde,23,24,27,43,49,57
perde,02,23,28,40,53,57
perde,05,10,17,23,30,31
vence,6,11,29,40,41,58
perde,14,33,35,46,49,55
perde,12,13,18,38,44,57
perde,02,18,22,33,42,54
perde,02,07,08,47,53,57
perde,01,34,45,46,49,50
perde,06,34,38,45,49,54
perde,04,15,29,30,39,45
vence,25,38,44,46,53,54
perde,04,14,22,30,55,59
perde,02,03,14,26,28,47
perde,01,15,30,37,40,53
vence,22,25,31,39,41,44
perde,02,11,16,36,49,59
perde,04,13,32,49,50,55
perde,02,22,26,37,45,46
perde,05,20,21,28,55,56
perde,01,02,16,37,40,52
perde,20,31,35,41,51,55
perde,02,06,12,37,45,54
perde,02,15,24,34,48,56
perde,25,39,40,41,47,50
perde,01,12,24,52,56,57
perde,16,18,35,38,41,56
perde,12,15,26,41,46,55
perde,10,17,18,20,24,56
perde,13,15,42,44,53,59
perde,08,19,47,50,53,54
perde,02,12,38,44,51,60
perde,01,23,32,42,49,52
perde,01,02,10,26,42,48
perde,09,25,31,32,35,54
perde,11,12,25,32,40,48
perde,02,15,32,41,46,47
vence,14,23,24,25,26,51
perde,08,11,13,38,41,52
perde,01,02,13,32,40,56
perde,13,14,20,49,50,60
vence,2,6,18,30,52,56
perde,19,20,28,29,35,58
perde,10,18,32,36,45,48
perde,06,18,22,26,44,54
perde,06,15,20,32,51,55
perde,38,40,43,44,47,60
perde,05,17,23,35,48,51
perde,18,29,31,41,54,58
vence,10,15,28,33,51,52
perde,07,16,29,40,42,51
perde,42,47,51,52,53,60
perde,05,09,10,18,21,31
perde,10,17,21,26,33,39
perde,09,11,23,31,35,38
perde,05,14,26,28,29,45
perde,06,16,17,37,49,53
perde,02,06,08,36,37,56
perde,02,03,11,31,34,46
perde,13,14,37,43,51,56
perde,01,04,08,35,43,54
perde,05,09,16,33,39,49
perde,04,26,29,40,47,51
perde,11,16,32,48,51,58
vence,8,18,28,51,52,55
perde,03,09,25,38,41,47
vence,16,19,23,28,39,58
perde,03,08,20,28,37,51
perde,04,05,17,20,43,52
perde,12,14,19,24,37,53
perde,05,25,32,44,49,51
perde,03,12,16,31,43,50
perde,07,12,37,56,58,60
perde,10,16,24,25,43,54
perde,09,10,13,35,49,54
vence,9,14,37,44,46,55
perde,08,13,26,29,46,53
perde,07,24,34,54,57,59
perde,01,02,12,30,42,49
perde,07,33,35,47,55,57
vence,6,10,12,17,28,53
perde,01,11,27,40,42,49
perde,15,16,21,31,32,60
perde,03,27,31,36,39,42
perde,11,20,24,35,42,51
vence,5,20,22,30,35,55
perde,14,25,29,40,48,57
vence,5,20,26,31,33,44
perde,04,08,15,16,22,24
perde,02,08,13,28,44,54
vence,16,19,30,37,38,48
perde,04,20,34,35,44,57
vence,3,16,23,25,51,56
perde,04,13,16,41,42,49
perde,08,12,33,36,45,54
perde,04,07,09,30,31,58
vence,17,18,19,25,49,52
perde,04,18,20,27,48,59
perde,13,23,24,47,49,52
perde,12,20,26,27,29,56
perde,04,15,16,27,44,48
vence,2,19,22,30,46,52
perde,04,13,18,27,42,56
perde,09,30,32,42,44,56
vence,10,12,23,37,47,51
perde,07,16,17,28,35,49
perde,16,25,30,38,41,42
perde,03,09,18,28,41,44
perde,04,13,23,24,43,53
perde,11,22,33,37,38,58
vence,12,13,20,30,34,49
perde,19,28,39,46,56,60
perde,12,13,15,26,27,44
perde,17,26,29,38,41,47
perde,08,12,14,15,24,25
vence,2,7,17,34,41,50
perde,22,27,40,41,50,51
vence,3,9,23,30,32,35
perde,05,13,21,44,48,56
vence,3,20,22,32,35,50
perde,18,33,36,37,38,48
perde,16,21,26,38,49,50
perde,12,25,30,37,50,51
perde,04,06,15,22,34,35
perde,14,15,17,44,45,47
perde,08,23,25,38,44,51
perde,06,34,38,52,54,56
perde,06,08,15,38,41,57
perde,04,12,13,22,40,60
perde,01,31,32,38,44,50
perde,17,18,22,41,54,58
perde,03,14,17,44,52,60
perde,03,08,23,27,49,54
perde,12,26,46,47,48,50
vence,10,34,41,44,45,54
perde,04,07,12,21,40,58
vence,1,5,6,37,44,53
perde,27,31,42,44,45,46
perde,06,09,19,21,38,60
perde,12,16,20,39,45,58
perde,07,10,26,29,33,42
perde,06,22,25,26,38,58
vence,3,8,10,13,24,60
perde,03,09,30,33,38,60
perde,06,11,27,29,32,42
perde,15,23,27,42,47,53
perde,10,15,19,34,47,51
perde,07,11,14,28,30,42
perde,05,17,25,26,28,42
perde,11,12,26,27,36,58
perde,06,09,17,28,33,41
perde,04,05,22,29,39,44
perde,18,24,39,52,57,58
perde,32,45,46,49,56,58
vence,2,5,8,18,30,48
vence,15,18,29,36,51,53
perde,23,29,39,43,48,52
perde,13,35,36,41,57,58
perde,16,18,21,33,34,42
perde,29,30,32,42,44,49
vence,24,28,40,47,50,52
perde,10,24,28,33,39,43
perde,08,15,24,35,38,45
perde,02,07,18,33,40,45
perde,02,03,14,26,44,55
perde,05,16,17,23,26,39
vence,16,18,31,34,39,54
perde,06,09,22,50,59,60
perde,06,22,25,49,51,58
perde,14,22,45,55,56,60
perde,05,24,41,47,51,55
perde,02,04,12,25,41,59
perde,11,38,50,53,55,60
perde,01,38,40,41,49,50
perde,34,35,39,41,44,57
perde,12,14,15,40,45,55
perde,05,06,18,19,28,42
perde,06,08,15,22,44,54
perde,12,14,20,27,36,52
vence,2,4,29,33,35,53
perde,02,14,15,21,43,49
perde,03,12,16,21,34,58
perde,02,05,06,08,15,51
vence,11,15,29,37,39,44
perde,08,10,18,27,34,35
vence,7,30,31,41,50,56
perde,05,19,21,24,58,60
vence,3,11,16,22,25,33
perde,08,09,19,33,41,50
perde,02,08,19,27,31,41
perde,07,16,28,35,57,58
perde,04,05,19,53,54,60
perde,04,10,20,38,40,52
perde,01,12,13,14,23,35
perde,01,12,17,35,46,59
perde,19,25,33,53,58,59
perde,01,31,33,38,45,54
vence,1,18,25,37,39,43
vence,17,27,34,48,51,55
perde,03,15,30,37,45,57
perde,09,41,47,56,58,59
vence,1,8,17,44,46,53
perde,04,08,17,33,47,60
perde,06,28,31,33,40,46
vence,25,28,29,34,41,45
vence,3,4,8,30,45,54
perde,05,31,46,48,52,58
perde,03,11,20,34,37,39
perde,03,09,20,21,48,58
perde,09,10,19,45,48,58
vence,7,9,23,33,57,59
vence,1,22,30,45,50,53
perde,07,09,16,25,26,45
perde,13,24,35,43,44,51
perde,02,07,11,45,48,50
perde,02,17,44,47,49,60
perde,03,09,28,37,39,55
perde,20,29,39,40,47,50
perde,04,06,20,21,28,40
perde,11,27,39,41,42,45
perde,03,07,23,28,46,53
perde,09,15,19,22,37,46
perde,03,10,24,32,38,50
vence,6,12,35,36,40,50
perde,11,17,33,43,46,57
perde,01,25,27,42,49,58
vence,12,18,19,27,41,46
perde,09,12,21,43,44,53
perde,11,14,17,25,32,46
vence,3,8,28,39,42,59
perde,14,18,21,41,47,58
perde,02,23,26,35,55,59
vence,9,13,26,38,58,60
perde,06,11,22,35,50,54
perde,12,18,20,24,55,57
perde,04,05,13,23,24,26
perde,01,09,21,35,46,58
vence,7,14,18,23,32,59
perde,22,27,32,49,53,58
perde,12,19,33,35,44,51
perde,10,17,42,51,55,58
perde,02,15,20,24,34,44
perde,11,17,33,34,35,54
perde,11,18,30,42,45,53
perde,20,27,28,49,51,60
perde,25,27,29,36,44,58
perde,10,15,21,32,45,49
perde,07,12,14,24,53,58
vence,9,13,20,32,41,58
perde,06,23,27,34,39,60
perde,05,16,25,32,39,50
perde,10,19,22,35,50,53
vence,1,13,23,31,48,60
perde,09,22,30,32,35,50
vence,2,25,36,41,42,53
perde,05,21,23,26,29,56
perde,03,12,13,34,36,41
perde,03,17,38,40,45,54
perde,06,10,23,38,41,43
perde,09,15,30,38,47,54
perde,09,10,17,49,51,55
perde,16,21,22,36,40,60
perde,25,29,40,51,52,59
perde,03,32,35,41,42,49
perde,19,20,23,33,34,49
perde,04,16,31,40,43,60
perde,07,24,29,33,38,46
perde,04,08,12,18,38,49
vence,24,33,40,41,55,59
perde,01,09,19,41,44,53
perde,17,19,36,46,54,57
vence,8,21,23,34,42,47
perde,10,11,15,43,44,45
perde,23,24,25,31,34,41
vence,8,12,22,27,43,55
perde,17,22,28,34,36,55
perde,21,25,26,32,34,37
perde,12,18,26,38,49,51
perde,11,16,17,28,51,52
vence,4,14,20,24,46,50
perde,13,20,26,34,43,44
perde,07,12,28,33,47,55
vence,8,15,17,39,43,49
vence,12,34,45,53,55,58
perde,28,33,37,38,43,46
perde,16,22,33,50,52,53
perde,10,29,30,37,59,60
perde,12,13,18,44,46,50
perde,03,21,24,31,44,60
perde,22,24,26,30,47,58
perde,19,21,30,43,56,59
perde,01,10,37,39,55,56
perde,05,11,12,37,44,54
perde,07,10,12,20,39,40
vence,3,12,23,41,47,58
perde,14,38,41,53,57,60
vence,9,22,25,47,52,58
perde,04,09,19,33,36,55
perde,01,04,06,10,42,51
perde,14,16,24,32,37,49
perde,04,19,25,33,36,40
perde,01,12,29,31,32,33
perde,03,06,15,40,43,44
perde,19,22,24,29,39,41
perde,06,07,12,38,56,59
perde,14,28,43,49,58,59
perde,19,22,25,29,45,50
perde,02,12,26,46,47,59
perde,16,33,37,38,43,58
perde,12,37,40,43,49,52
vence,9,13,20,22,32,56
perde,12,20,34,35,45,54
vence,6,26,45,50,56,60
perde,09,15,42,48,52,53
vence,18,20,26,34,51,56
perde,01,02,05,15,18,57
vence,1,9,19,21,34,54
perde,01,10,16,25,40,45
vence,1,7,11,32,51,59
perde,09,13,20,40,43,55
perde,04,36,39,40,46,54
perde,15,16,32,43,49,58
perde,08,20,29,37,41,56
perde,05,06,21,22,35,37
perde,07,12,33,37,41,55
perde,08,12,13,25,29,47
vence,5,13,16,17,27,55
perde,04,05,29,38,52,60
vence,7,9,14,18,29,39
vence,15,16,20,38,40,58
perde,13,23,31,35,39,54
perde,08,21,26,28,42,53
perde,10,13,17,26,30,43
perde,05,28,42,44,47,58
perde,07,18,46,49,50,52
perde,13,15,34,35,36,47
vence,4,17,18,37,52,56
perde,13,18,32,42,44,53
perde,07,29,35,37,44,56
perde,16,19,45,46,47,57
perde,03,14,34,39,56,57
perde,16,20,23,25,41,49
perde,09,10,13,29,38,46
perde,11,14,16,26,41,58
perde,12,13,22,35,57,58
perde,17,21,29,43,45,49
perde,21,24,30,31,37,58
perde,11,14,15,28,31,57
perde,07,08,23,28,39,55
perde,01,06,18,30,48,51
perde,04,10,19,31,34,37
perde,04,06,07,12,23,47
perde,04,23,28,41,48,49
perde,03,15,33,43,47,58
perde,16,37,38,40,44,60
perde,01,03,09,19,21,53
perde,16,21,25,44,52,54
perde,24,37,38,41,44,48
perde,02,07,12,31,51,54
perde,01,08,14,17,58,59
perde,09,12,20,34,35,54
perde,17,28,30,39,49,51
perde,01,05,13,15,39,57
perde,02,09,30,31,47,52
perde,08,20,28,32,34,47
perde,04,08,11,25,28,47
perde,05,07,17,39,45,58
perde,10,12,21,24,28,56
perde,02,06,28,36,39,60
perde,01,03,09,11,22,51
perde,19,25,30,41,47,60
vence,9,29,41,43,46,49
perde,01,02,06,09,12,26
perde,09,23,33,35,42,44
perde,04,09,12,37,55,60
perde,31,38,41,45,49,59
perde,02,13,30,47,50,60
vence,5,7,37,43,53,54
perde,13,23,25,35,38,54
vence,6,7,8,23,43,53
perde,15,16,38,50,55,57
perde,01,06,07,43,52,53
perde,04,06,13,19,33,57
perde,10,16,20,22,47,51
vence,6,19,23,37,49,50
perde,09,23,27,43,54,56
perde,11,15,36,52,57,60
perde,01,02,08,37,55,60
perde,17,27,35,39,48,57
vence,6,24,31,35,42,57
vence,11,18,20,34,41,56
perde,14,22,23,30,45,56
perde,38,43,45,49,54,58
perde,13,20,30,39,46,50
perde,11,12,13,17,27,57
perde,04,25,46,50,51,57
perde,06,13,14,17,19,54
perde,04,09,11,19,20,60
vence,23,24,26,44,49,60
perde,10,18,22,26,46,57
perde,11,17,24,28,33,42
perde,01,15,31,41,43,48
perde,14,16,45,54,55,57
perde,12,14,24,26,42,56
perde,03,08,27,38,45,47
perde,16,19,29,38,47,48
perde,17,20,22,33,53,54
perde,22,26,35,41,46,60
perde,05,31,33,35,36,39
perde,09,18,22,28,31,45
perde,09,23,27,31,40,57
perde,17,21,34,38,44,60
vence,9,12,34,46,47,57
perde,09,23,28,29,42,59
perde,10,23,32,33,56,57
perde,06,14,27,36,45,60
perde,18,28,30,34,35,51
perde,27,32,41,46,56,59
vence,1,26,28,41,54,60
perde,02,43,49,51,57,59
perde,10,14,15,25,40,54
perde,02,14,25,27,41,48
perde,13,22,23,26,36,41
perde,12,19,23,38,44,52
perde,01,02,31,41,52,55
perde,04,17,18,29,34,58
perde,10,15,27,45,49,55
perde,15,20,54,55,56,59
vence,1,11,26,51,59,60
perde,09,10,13,30,34,46
perde,04,05,13,18,49,54
perde,04,05,16,38,51,52
perde,04,11,25,29,48,55
perde,03,14,23,31,44,45
perde,19,27,32,40,55,59
perde,25,34,36,52,57,58
perde,04,10,20,23,38,49
perde,01,06,25,28,38,55
perde,07,12,28,56,57,59
vence,13,15,20,28,31,36
perde,06,07,12,41,42,52
perde,16,18,24,30,33,46
perde,02,13,19,45,55,60
perde,08,15,22,32,40,44
vence,18,20,24,36,53,58
perde,01,03,07,12,22,46
perde,04,10,39,46,48,50
perde,08,33,37,58,59,60
perde,02,10,30,44,45,59
perde,02,12,15,17,21,51
perde,01,22,32,46,51,60
perde,17,20,22,42,44,60
perde,04,20,45,48,56,58
perde,13,30,34,36,38,58
vence,1,10,17,26,30,53
perde,02,04,24,29,43,57
perde,25,27,28,34,47,57
perde,02,12,15,24,35,54
perde,36,41,42,50,52,56
perde,01,02,12,22,47,55
perde,01,08,16,18,24,30
vence,4,16,19,28,29,49
perde,05,17,34,39,46,57
perde,04,06,15,29,34,55
perde,18,27,28,50,51,57
perde,05,15,22,35,48,59
perde,04,23,25,32,41,43
vence,1,2,10,37,42,48
perde,10,13,26,29,42,56
perde,15,17,18,22,32,55
perde,08,15,26,28,42,55
perde,23,25,28,30,52,57
perde,18,20,21,45,46,53
perde,21,23,26,36,48,55
perde,01,02,06,20,51,53
perde,07,16,36,40,45,55
perde,04,07,08,16,25,54
perde,04,05,23,35,51,56
perde,17,19,20,25,36,43
perde,18,31,35,49,50,54
perde,06,21,25,29,34,51
perde,03,08,33,35,42,43
perde,10,22,24,34,49,51
perde,01,11,13,37,42,59
perde,22,35,57,58,59,60
perde,07,09,24,28,30,35
vence,5,16,24,32,38,46
perde,03,04,24,36,40,48
perde,04,41,49,52,56,58
perde,04,27,40,48,50,51
perde,05,17,28,32,36,57
perde,01,11,28,31,46,55
vence,20,33,42,44,51,56
perde,02,24,27,35,46,60
perde,01,06,14,34,42,49
perde,24,31,38,40,47,55
perde,16,20,22,24,36,58
perde,23,28,42,51,57,60
perde,03,15,21,24,32,60
vence,10,12,22,25,42,54
perde,17,20,51,52,57,60
perde,18,29,32,39,50,55
perde,04,13,17,26,43,46
perde,12,14,17,40,50,52
perde,03,08,20,27,28,53
perde,08,12,15,35,48,51
perde,10,21,24,50,54,59
perde,01,07,18,20,45,49
perde,10,17,23,35,43,46
perde,04,06,08,20,53,60
vence,15,16,26,29,43,57
vence,22,26,38,39,45,50
perde,07,08,11,28,32,47
perde,24,38,47,51,57,60
perde,11,20,22,25,37,55
perde,13,17,18,28,32,51
perde,03,18,38,42,57,58
perde,13,35,36,41,42,46
perde,04,26,29,32,35,46
perde,04,20,27,40,54,58
vence,14,33,36,38,41,49
perde,02,06,07,16,30,48
vence,12,16,30,52,53,58
perde,02,09,27,36,48,49
perde,14,16,24,25,49,55
perde,04,08,15,43,47,54
perde,06,08,18,23,38,57
perde,11,12,39,40,46,56
perde,05,06,20,31,58,59
vence,12,20,24,28,33,57
perde,22,25,27,29,51,57
perde,06,13,22,29,39,56
perde,01,03,13,46,48,54
perde,12,16,40,43,54,56
vence,12,13,24,41,42,44
perde,09,11,22,35,39,43
perde,02,05,10,40,45,48
perde,03,18,29,36,46,56
perde,24,28,46,55,57,59
perde,05,08,22,42,46,60
vence,5,31,32,36,51,59
perde,01,17,31,33,48,53
vence,2,6,19,35,42,58
vence,13,16,36,53,54,55
perde,01,29,31,35,44,54
perde,10,20,26,36,41,57
perde,09,11,32,35,37,53
perde,02,05,07,31,52,58
perde,17,26,33,43,55,60
perde,15,32,36,44,45,55
perde,19,25,29,37,53,60
perde,02,08,10,28,57,60
perde,14,20,26,30,34,45
vence,1,19,46,47,49,53
vence,19,30,41,47,56,57
vence,11,22,36,40,45,52
vence,25,28,32,33,42,43
perde,02,29,30,32,47,53
perde,07,10,13,16,19,22
perde,06,15,25,35,41,56
perde,23,26,30,32,45,55
perde,18,24,41,46,51,57
perde,13,14,25,37,44,46
perde,04,17,19,20,37,40
perde,09,11,15,27,28,43
perde,02,04,25,42,48,50
perde,08,19,22,25,31,40
perde,07,09,28,40,52,60
perde,03,31,36,41,42,49
vence,6,7,28,42,45,49
perde,13,23,28,32,58,59
vence,6,10,16,20,29,54
perde,09,18,29,31,34,35
perde,06,13,19,37,44,53
perde,12,22,29,32,36,43
vence,5,11,15,23,25,30
perde,12,27,28,30,35,47
perde,03,08,30,32,42,57
perde,10,12,24,50,55,56
perde,10,26,39,42,44,54
perde,06,20,33,43,55,57
perde,07,18,31,36,46,53
perde,08,17,34,36,44,52
perde,02,03,42,46,48,51
perde,06,16,23,26,57,59
perde,08,28,37,52,55,56
perde,01,11,21,29,50,59
perde,06,08,19,24,42,43
perde,03,06,30,32,33,42
vence,22,29,31,43,50,54
perde,11,12,32,39,42,51
perde,13,29,34,50,51,59
perde,05,07,14,23,28,49
perde,14,19,31,34,44,49
perde,06,13,29,40,43,56
vence,9,10,30,37,47,54
perde,02,18,23,24,46,47
perde,05,10,14,30,43,50
perde,01,15,16,29,36,60
perde,01,04,11,17,40,46
vence,3,17,22,27,33,40
perde,07,14,25,28,38,50
perde,01,16,19,23,57,59
perde,14,23,25,33,43,44
perde,07,21,22,40,58,60
perde,14,42,51,52,54,57
vence,10,27,36,39,41,52
vence,12,18,46,50,53,55
perde,08,12,19,23,41,42
perde,14,34,35,40,43,48
perde,22,30,31,33,47,49
vence,7,25,41,47,50,53
vence,15,20,22,24,34,55
vence,9,12,14,29,42,56
perde,06,11,12,18,24,54
perde,04,16,23,24,29,46
perde,01,06,24,30,33,39
perde,15,18,23,25,44,55
perde,12,14,36,46,51,59
perde,08,20,45,50,53,60
perde,03,06,10,28,38,41
perde,08,26,31,41,51,60
vence,3,32,37,39,47,53
perde,27,33,35,41,44,52
perde,08,15,27,29,40,58
perde,01,07,10,15,32,52
perde,05,09,14,47,52,56
perde,08,09,23,33,48,60
perde,02,05,08,26,38,56
perde,18,28,33,35,51,57
vence,4,18,24,43,51,56
perde,03,14,30,39,43,58
perde,19,22,40,41,46,47
perde,16,21,30,40,41,48
perde,22,39,44,52,55,56
vence,2,8,27,32,49,56
perde,07,23,38,42,50,55
perde,01,04,17,21,25,42
perde,12,14,21,22,31,57
perde,05,10,19,25,38,56
perde,04,22,42,45,49,54
vence,4,10,17,27,41,52
perde,10,14,40,49,56,57
perde,08,10,23,53,54,57
perde,01,12,18,30,44,51
perde,11,16,43,52,53,59
perde,25,26,27,43,44,45
perde,13,18,27,43,52,58
perde,03,05,09,29,49,53
perde,09,10,16,22,42,56
vence,16,18,31,39,42,44
perde,03,04,25,33,48,52
perde,01,13,28,31,51,55
perde,04,13,15,35,56,59
perde,08,14,22,31,38,39
perde,02,18,27,28,35,57
perde,13,15,23,30,36,44
perde,09,10,31,39,43,48
perde,08,10,22,30,51,55
perde,02,19,20,26,40,43
perde,03,13,29,31,43,45
perde,16,19,25,35,36,49
perde,06,12,38,44,52,59
vence,21,29,50,51,54,59
perde,06,07,16,27,42,55
perde,19,20,41,45,58,60
perde,24,28,42,43,44,60
perde,23,25,29,40,47,58
vence,17,18,26,30,33,37
perde,02,06,17,44,50,55
perde,04,31,35,38,43,52
perde,08,17,26,33,45,48
vence,16,23,25,28,30,44
perde,04,13,14,27,38,46
perde,08,21,33,54,56,57
vence,13,24,32,34,43,53
perde,16,23,37,48,49,56
perde,11,15,41,47,49,51
perde,08,19,21,39,42,53
perde,03,05,24,25,56,58
perde,03,06,09,44,54,59
perde,04,12,26,50,52,57
vence,21,29,40,49,54,57
perde,04,15,25,36,45,59
perde,01,07,27,34,44,53
perde,11,12,21,23,31,60
perde,05,14,19,21,42,44
perde,02,11,31,44,50,55
perde,12,24,30,31,49,60
perde,10,20,33,52,54,60
perde,07,26,31,41,48,53
vence,9,26,29,42,43,45
perde,09,27,30,31,44,50
perde,01,03,06,23,33,52
perde,01,07,11,17,56,60
perde,07,09,26,35,36,55
perde,06,20,25,32,35,59
perde,01,07,24,41,44,49
perde,24,27,30,31,35,46
perde,27,29,35,43,50,59
perde,10,32,37,50,53,55
perde,06,11,21,22,28,55
perde,04,16,20,43,48,50
vence,1,6,17,27,35,40
perde,16,43,47,48,50,60
perde,23,32,34,40,49,52
perde,26,27,37,42,49,57
vence,22,28,30,33,55,59
perde,03,05,39,44,45,54
perde,12,13,31,33,34,54
perde,05,19,25,29,36,48
perde,20,23,31,55,58,59
perde,03,13,23,31,36,37
perde,11,17,45,49,55,56
perde,05,09,22,31,37,42
perde,31,38,47,49,55,56
vence,1,5,7,14,23,26
perde,02,16,18,36,38,50
perde,11,16,38,40,43,59
perde,07,11,13,36,37,48
perde,24,27,34,42,45,54
vence,22,39,45,53,57,59
perde,04,10,19,20,28,45
perde,14,20,25,29,43,47
perde,18,23,42,49,50,55
perde,01,21,38,51,54,56
vence,23,29,30,33,46,51
perde,07,12,24,27,44,49
vence,1,27,30,49,51,55
perde,08,15,21,26,28,54
perde,17,26,36,41,57,59
perde,12,25,50,52,57,58
vence,3,9,14,15,32,57
perde,02,07,18,30,38,57
vence,24,28,34,38,43,53
perde,02,12,14,15,55,59
perde,01,12,15,19,21,38
perde,09,14,30,40,49,59
perde,06,09,14,20,38,39
perde,09,12,20,41,43,60
perde,13,20,24,27,38,51
perde,18,24,33,39,48,54
perde,09,14,16,30,38,54
perde,09,16,18,19,23,51
perde,04,16,26,29,49,57
perde,01,18,49,54,58,59
vence,17,41,42,44,45,60
perde,20,23,30,40,49,59
vence,6,15,23,31,37,59
vence,1,37,44,46,48,50
perde,17,18,20,37,48,54
vence,6,25,26,35,38,40
perde,05,22,29,30,36,43
perde,01,17,21,40,42,43
perde,03,10,12,40,48,56
perde,02,33,42,47,48,50
vence,3,38,42,47,55,56
vence,15,18,33,50,53,55
vence,9,11,16,35,50,58
perde,08,13,20,22,27,31
perde,09,26,38,48,51,55
perde,02,06,29,31,35,41
perde,01,05,09,31,45,56
perde,02,17,22,41,56,57
perde,04,10,24,38,48,50
perde,08,32,44,45,46,52
perde,12,40,42,45,46,51
perde,14,21,31,47,54,59
vence,1,6,10,30,33,38
vence,9,13,18,47,52,60
perde,08,30,47,52,54,57
perde,11,17,25,29,40,49
perde,25,27,37,44,45,58
perde,03,14,25,32,41,55
perde,03,09,17,40,48,49
perde,06,14,28,42,52,60
vence,3,4,13,34,42,50
perde,01,04,36,45,48,55
perde,11,40,43,49,53,55
perde,14,21,24,29,54,55
perde,14,15,17,20,36,39
perde,10,25,33,38,59,60
perde,07,08,10,26,39,46
perde,22,31,39,43,47,54
vence,8,20,30,32,48,59
vence,13,16,20,26,39,42
perde,02,04,10,26,30,54
perde,02,06,11,20,22,45
perde,17,31,36,53,58,59
perde,06,16,32,34,46,57
perde,08,17,25,32,47,60
perde,05,29,34,45,46,58
perde,03,12,15,22,29,48
perde,06,12,16,29,56,60
perde,14,15,31,41,43,51
perde,32,33,36,37,40,55
perde,22,24,30,34,51,52
perde,13,23,24,28,32,35
perde,03,14,17,30,31,40
perde,14,18,29,31,49,54
perde,01,07,10,22,34,40
vence,10,13,32,47,49,60
perde,05,07,15,19,49,59
perde,01,14,22,41,44,60
perde,11,13,16,21,36,56
perde,07,15,27,46,48,57
perde,11,16,22,32,46,47
perde,26,31,36,40,55,58
perde,27,33,50,51,54,57
perde,14,28,31,35,47,55
perde,11,14,15,17,23,49
perde,01,19,24,34,37,38
perde,01,11,18,20,28,48
perde,02,25,27,35,38,52
perde,09,21,27,29,47,51
perde,08,30,34,44,45,57
perde,27,32,41,47,49,50
perde,08,23,41,42,52,58
perde,05,23,32,35,36,44
perde,05,26,35,37,38,52
perde,06,11,16,25,40,57
vence,4,5,18,25,28,51
perde,03,12,15,24,48,50
perde,20,25,26,37,43,47
perde,11,13,15,27,31,53
perde,07,18,26,49,50,54
perde,19,27,55,57,58,59
perde,02,05,09,22,26,60
perde,01,11,28,39,50,55
perde,11,18,31,36,39,43
perde,01,10,15,18,39,46
perde,11,15,30,38,44,59
perde,07,10,19,30,33,58
perde,08,09,18,19,25,59
perde,08,25,30,34,39,57
perde,02,11,46,53,55,57
perde,18,20,35,52,53,54
vence,12,13,19,36,44,55
perde,04,17,21,53,56,57
perde,07,35,36,40,47,58
perde,17,21,30,31,54,56
perde,07,09,11,22,36,42
perde,14,16,41,46,57,59
vence,5,18,30,35,39,60
perde,01,10,12,13,37,55
perde,08,09,20,39,58,60
perde,05,12,33,48,52,59
perde,08,09,10,19,24,51
perde,01,02,30,35,40,49
perde,22,35,36,39,51,59
perde,25,31,43,53,56,60
vence,11,13,27,34,46,49
perde,06,07,13,18,23,34
perde,05,07,15,16,38,44
perde,25,32,38,39,51,55
perde,17,22,30,44,54,59
perde,37,38,43,44,50,53
perde,05,17,18,37,42,49
